Predict
"[99.968438,13.522437],"
"[99.968251,13.522385],"
"[99.968151,13.39723],"
"[99.96812,13.52961],"
"[99.9681,13.5556],"
"[99.96802,14.51118],"
"[99.967885,13.413836],"
"[99.967755,14.964998],"
"[99.96706,15.08951],"
"[99.966963,13.53211],"
"[99.96694,13.52197],"
"[99.966667,13.521833],"
"[99.966621,15.518815],"
"[99.9665,13.44019],"
"[99.966431,13.521775],"
"[99.966293,13.533657],"
"[99.966179,13.442143],"
"[99.966167,13.334333],"
"[99.96605,13.52118],"
"[99.966042,13.521275],"
"[99.966,13.443667],"
"[99.965935,13.521693],"
"[99.965892,13.521742],"
"[99.965622,13.469787],"
"[99.9655,13.4348],"
"[99.965397,13.434515],"
"[99.965361,15.49705],"
"[99.965345,13.376308],"
"[99.965244,14.38032],"
"[99.965179,13.433494],"
"[99.96505,13.521733],"
"[99.96471,13.43149],"
"[99.964595,13.430346],"
"[99.964577,13.4308],"
"[99.964516,13.52181],"
"[99.9645,15.792],"
"[99.9644,13.415222],"
"[99.96438,13.430132],"
"[99.96437,13.90034],"
"[99.964276,13.429703],"
"[99.964217,13.5218],"
"[99.964157,13.41568],"
"[99.964153,13.453688],"
"[99.963974,13.428668],"
"[99.963912,13.521795],"
"[99.9639,13.45425],"
"[99.96387,13.521771],"
"[99.963867,13.416073],"
"[99.963694,13.427829],"
"[99.963571,13.110458],"
"[99.96357,13.427332],"
"[99.963563,13.427233],"
"[99.963541,13.418728],"
"[99.963528,13.521781],"
"[99.96351,13.52175],"
"[99.963498,13.427645],"
"[99.963268,13.419481],"
"[99.96323,13.41913],"
"[99.96321,13.419227],"
"[99.96312,13.52164],"
"[99.963089,13.419215],"
"[99.963066,13.421222],"
"[99.963043,13.521613],"
"[99.96304,13.42116],"
"[99.962843,13.421728],"
"[99.962783,13.4246],"
"[99.96276,13.473825],"
"[99.96274,13.424385],"
"[99.962738,13.521505],"
"[99.962685,13.422165],"
"[99.962566,13.423299],"
"[99.96251,13.42322],"
"[99.962471,13.418988],"
"[99.962372,13.758483],"
"[99.962343,13.521333],"
"[99.962272,13.521353],"
"[99.96224,13.521355],"
"[99.96216,15.79477],"
"[99.962138,15.795075],"
"[99.96211,13.52126],"
"[99.961923,13.521173],"
"[99.961745,13.765606],"
"[99.961735,13.52099],"
"[99.961706,15.795251],"
"[99.961667,13.4235],"
"[99.9616,13.52093],"
"[99.96157,15.795766],"
"[99.961403,15.757248],"
"[99.961392,13.336792],"
"[99.96119,13.42433],"
"[99.961052,14.772953],"
"[99.96084,13.46619],"
