Predict
"[99.772903,15.970962],"
"[99.77716,13.567213],"
"[99.78178,13.46076],"
"[99.78409,13.52823],"
"[99.784427,15.753312],"
"[99.784874,13.816515],"
"[99.786887,13.257553],"
"[99.787913,15.144833],"
"[99.788506,14.749937],"
"[99.790405,13.513247],"
"[99.79072,14.411577],"
"[99.790775,15.426241],"
"[99.79253,13.56129],"
"[99.794667,13.482],"
"[99.794753,13.48228],"
"[99.79507,13.494946],"
"[99.795191,13.507558],"
"[99.79544,13.484791],"
"[99.795521,13.528046],"
"[99.79591,13.53948],"
"[99.796226,15.749766],"
"[99.79925,16.00411],"
"[99.800616,13.452635],"
"[99.801641,14.05652],"
"[99.80195,13.53078],"
"[99.802545,14.055815],"
"[99.803535,16.00061],"
"[99.804115,13.531981],"
"[99.804783,15.999254],"
"[99.805353,15.999242],"
"[99.806435,16.001481],"
"[99.807045,13.364807],"
"[99.80717,13.530321],"
"[99.808466,15.83991],"
"[99.809929,14.044641],"
"[99.810281,15.988639],"
"[99.810287,13.555985],"
"[99.810326,13.557588],"
"[99.810843,13.549583],"
"[99.811211,13.547594],"
"[99.81175,13.49191],"
"[99.811968,15.992258],"
"[99.812156,13.54811],"
"[99.8122,15.992103],"
"[99.812256,13.535939],"
"[99.812538,13.582788],"
"[99.81352,13.529224],"
"[99.81456,13.52983],"
"[99.81476,13.53018],"
"[99.81478,13.53734],"
"[99.8149,13.53186],"
"[99.815025,13.529465],"
"[99.81504,13.959786],"
"[99.815115,15.75438],"
"[99.815141,13.528405],"
"[99.816523,14.251588],"
"[99.817803,13.53435],"
"[99.818286,13.521936],"
"[99.8187,13.51917],"
"[99.81939,13.51925],"
"[99.81939,13.537128],"
"[99.81946,13.27577],"
"[99.81966,13.53975],"
"[99.81976,13.53987],"
"[99.820522,15.983965],"
"[99.82056,13.28254],"
"[99.82073,13.28343],"
"[99.821111,13.53811],"
"[99.821298,13.267935],"
"[99.821458,13.868705],"
"[99.821465,13.28737],"
"[99.821698,13.26775],"
"[99.821778,13.289474],"
"[99.821925,13.289955],"
"[99.82235,13.194695],"
"[99.822882,13.262152],"
"[99.82292,13.2677],"
"[99.823097,13.26756],"
"[99.823163,13.261257],"
"[99.82334,13.54064],"
"[99.82385,15.38002],"
"[99.82387,13.8651],"
"[99.824138,13.268981],"
"[99.824375,14.947597],"
"[99.824566,13.304758],"
"[99.82461,13.36328],"
"[99.824991,13.243798],"
"[99.824995,15.979117],"
"[99.825066,13.306847],"
"[99.825211,13.306434],"
"[99.82524,13.537558],"
"[99.825243,13.306498],"
"[99.8253,13.307],"
"[99.825302,13.307279],"
"[99.82534,13.53664],"
"[99.825561,13.305513],"
"[99.825562,13.308543],"
"[99.825596,13.305457],"
"[99.825714,13.30533],"
"[99.82572,13.30938],"
"[99.825737,13.309058],"
"[99.825755,13.309338],"
"[99.825783,13.309512],"
"[99.825798,13.305195],"
"[99.82587,13.251103],"
"[99.825908,13.305007],"
"[99.825923,13.304968],"
"[99.825941,13.30499],"
"[99.82595,13.30488],"
"[99.825965,13.305253],"
"[99.82616,15.75864],"
"[99.826208,13.28954],"
"[99.826256,13.312053],"
"[99.82628,13.312195],"
"[99.82651,13.31368],"
"[99.826585,13.314055],"
"[99.82667,13.31456],"
"[99.82694,13.315695],"
"[99.8272,13.3141],"
"[99.827205,13.318116],"
"[99.82728,13.2521],"
"[99.82745,13.30575],"
"[99.827471,13.320719],"
"[99.82837,13.323578],"
"[99.828467,13.323908],"
"[99.82852,13.32469],"
"[99.828635,13.262828],"
"[99.828718,15.9737],"
"[99.82887,13.33947],"
"[99.82893,13.3386],"
"[99.828932,13.339758],"
"[99.828958,13.55477],"
"[99.828995,13.32677],"
"[99.829023,15.97513],"
"[99.82916,13.328656],"
"[99.82917,13.54047],"
"[99.82922,13.32761],"
"[99.82923,13.55761],"
"[99.829333,13.331333],"
"[99.829351,13.330372],"
"[99.829376,13.201987],"
"[99.829376,13.3403],"
"[99.82939,13.331034],"
"[99.829477,13.327313],"
"[99.82948,13.32719],"
"[99.82959,13.327413],"
"[99.82973,13.53878],"
"[99.830007,13.009943],"
"[99.83044,15.39198],"
"[99.83046,13.58944],"
"[99.831485,13.340139],"
"[99.83205,13.6008],"
"[99.832275,13.526018],"
"[99.833328,13.60029],"
"[99.833483,13.600246],"
"[99.83374,15.383555],"
"[99.83388,13.60103],"
"[99.834225,13.340858],"
"[99.83448,13.527284],"
"[99.83456,15.76184],"
"[99.83481,15.96987],"
"[99.835159,15.390358],"
"[99.83519,13.34091],"
"[99.83532,13.34092],"
"[99.83557,15.96979],"
"[99.835766,15.39006],"
"[99.83591,15.39088],"
"[99.835933,13.790293],"
"[99.835965,15.390295],"
"[99.835983,15.39028],"
"[99.836071,13.340614],"
"[99.83629,15.390528],"
"[99.836298,15.390044],"
"[99.836345,15.390649],"
"[99.83638,15.39051],"
"[99.836602,15.390929],"
"[99.837045,15.390956],"
"[99.83713,15.391338],"
"[99.837538,15.391295],"
"[99.837551,15.391273],"
"[99.83764,13.891395],"
"[99.83767,13.341],"
"[99.837835,15.391346],"
"[99.837931,13.388138],"
"[99.838119,15.96552],"
